sn,symbol,ltp,point change,change,open,high,low,volume,close
247,SBLD84,885.00,-18.70,-2.07,900.00,900.00,885.00,50.00,903.70
248,SCB,534.00,1.90,0.36,530.00,534.90,530.00,"6,285.00",532.10
249,SDBD87,906.00,-4.00,-0.44,906.00,906.00,906.00,30.00,910.00
250,SDLBSL,647.00,0.10,0.02,650.00,650.00,640.00,670.00,646.90
251,SEF,8.30,0.00,0.00,8.46,8.46,8.15,"53,540.00",8.30
252,SFCL,311.90,2.90,0.94,311.00,312.20,306.30,"23,435.00",309.00
253,SFEF,8.02,0.02,0.25,7.91,8.18,7.91,"37,500.00",8.00
254,SFMF,9.79,0.12,1.24,9.79,9.79,9.79,100.00,9.67
255,SGHC,340.00,15.00,4.62,325.00,340.60,317.00,"77,986.00",325.00
256,SGIC,537.00,8.00,1.51,530.00,545.00,529.20,"43,536.00",529.00
257,SHEL,260.00,9.50,3.79,251.00,261.00,251.00,"14,075.00",250.50
258,SHINE,390.00,1.00,0.26,387.00,393.00,386.20,"16,529.00",389.00
259,SHIVM,502.00,4.00,0.80,500.00,507.00,495.00,"87,777.00",498.00
260,SHL,464.70,-0.30,-0.06,462.00,466.50,459.30,"37,991.00",465.00
261,SHLB,975.00,25.00,2.63,932.00,"1,015.00",921.00,460.00,950.00
262,SHPC,365.00,2.00,0.55,362.00,366.90,357.10,"47,693.00",363.00
263,SICL,737.60,9.60,1.32,730.00,742.00,730.00,"12,677.00",728.00
264,SIFC,363.00,4.80,1.34,364.00,364.00,353.70,"8,419.00",358.20
265,SIGS2,8.15,0.15,1.88,8.00,8.15,8.00,"6,150.00",8.00
266,SIGS3,8.36,-0.24,-2.79,8.43,8.45,8.30,"5,800.00",8.60
267,SIKLES,535.00,12.00,2.29,518.00,549.00,518.00,"54,252.00",523.00
268,SINDU,335.50,5.50,1.67,335.00,337.00,326.00,"21,366.00",330.00
269,SJCL,301.00,3.00,1.01,295.00,302.50,294.10,"10,142.00",298.00
270,SJLIC,530.00,1.00,0.19,525.00,530.90,519.90,"42,014.00",529.00
271,SKBBL,864.00,-1.00,-0.12,867.00,869.00,850.00,"5,739.00",865.00
272,SLBBL,664.00,9.00,1.37,657.00,665.00,655.00,"3,743.00",655.00
273,SLBSL,872.00,32.00,3.81,856.80,872.00,808.00,"3,365.00",840.00
274,SLCF,7.94,-0.07,-0.87,7.85,7.95,7.71,"3,200.00",8.01
275,SMATA,620.00,0.20,0.03,608.10,625.00,608.10,"1,111.00",619.80
276,SMB,"1,009.90",8.90,0.89,"1,000.00","1,019.90",981.00,411.00,"1,001.00"
277,SMFBS,890.00,17.00,1.95,875.00,925.00,875.00,"1,681.00",873.00
278,SMH,672.00,43.00,6.84,619.00,674.00,619.00,"32,037.00",629.00
279,SMHL,500.90,17.90,3.71,473.70,508.00,473.70,"103,140.00",483.00
